Date,Time,LDR,Soil Moisture,Humidity,Temperature
2024-08-11,23:33:48,19.0,22.0,3481.6,320.0
2024-08-11,23:33:50,20.0,22.0,27.0,29.0
2024-08-11,23:33:52,20.0,22.0,3494.4,332.8
2024-08-11,23:33:54,20.0,22.0,3494.4,332.8
2024-08-11,23:33:56,20.0,22.0,27.0,29.0
2024-08-11,23:33:58,19.0,22.0,27.0,29.0
2024-08-11,23:34:00,19.0,22.0,27.0,29.0
2024-08-11,23:34:03,18.0,22.0,27.0,29.0
2024-08-11,23:34:05,80.0,25.0,27.0,29.0
2024-08-11,23:34:07,82.0,23.0,27.0,29.0
2024-08-11,23:34:09,20.0,22.0,27.0,29.0
2024-08-11,23:34:11,19.0,22.0,3494.4,332.8
2024-08-11,23:34:13,19.0,22.0,27.0,29.0
2024-08-11,23:34:15,19.0,23.0,27.0,29.0
2024-08-11,23:34:17,20.0,23.0,27.0,29.0
2024-08-11,23:34:19,20.0,22.0,3494.4,332.8
2024-08-11,23:34:21,19.0,22.0,27.0,29.0
2024-08-11,23:34:23,19.0,22.0,27.0,29.0
2024-08-11,23:34:25,20.0,22.0,27.0,29.0
2024-08-11,23:34:27,20.0,22.0,3494.4,332.8
2024-08-11,23:34:29,20.0,22.0,27.0,29.0
2024-08-11,23:34:31,20.0,22.0,27.0,29.0
2024-08-11,23:34:33,19.0,22.0,3494.4,332.8
2024-08-11,23:34:35,19.0,22.0,27.0,29.0
2024-08-11,23:34:37,19.0,22.0,27.0,29.0
2024-08-11,23:34:39,19.0,22.0,27.0,29.0
2024-08-11,23:34:41,20.0,22.0,27.0,29.0
2024-08-11,23:34:43,19.0,22.0,27.0,29.0
2024-08-11,23:34:45,19.0,22.0,27.0,29.0
2024-08-11,23:34:47,20.0,22.0,3494.4,332.8
2024-08-11,23:34:49,19.0,22.0,27.0,29.0
2024-08-11,23:34:51,20.0,22.0,27.0,29.0
2024-08-11,23:34:53,20.0,22.0,27.0,29.0
2024-08-11,23:34:55,17.0,20.0,27.0,29.0
2024-08-11,23:34:57,16.0,21.0,27.0,29.0
Date,Time,LDR,Soil Moisture,Humidity,Temperature
2024-08-11,23:36:19,20.0,21.0,27.0,29.0
2024-08-11,23:36:21,20.0,23.0,27.0,29.0
2024-08-11,23:36:23,20.0,23.0,3494.4,332.8
2024-08-11,23:36:25,20.0,23.0,3494.4,332.8
2024-08-11,23:36:27,16.0,23.0,3494.4,332.8
